year,type,author,title,field,tag,booktitle,abbr,vol,no,pages,doi
2013,book,Martin Fagereng Johansen,Testing Product Lines of Industrial Size: Advancements in Combinatorial Interaction Testing,Application,,"University of Oslo, Norway",,,,,
2024,article,"Carmen Baumann, Yavuz Köroglu, Franz Wotawa",On the Impact of Input Models on the Fault Detection Capabilities of Combinatorial Testing,Evaluation,,SN Computer Science,,5,7,821,10.1007/S42979-024-03134-3
2017,inproceedings,"Yang Zhang, Lizhi Cai, Weijia Ji",Combinatorial testing data generation based on bird swarm algorithm,Generation,,International Conference on System Reliability and Safety,,,,491-499,10.1109/ICSRS.2017.8272871
2016,article,"Mohd Zanes Sahid, Abu Bakar Md Sultan, Abdul Azim Abdul Ghani, Salmi Baharom",Combinatorial Interaction Testing of Software Product Lines: A Mapping Study,Other,,Journal of Computer Science ,,12,8,379-398,10.3844/JCSSP.2016.379.398
2016,inproceedings,"Angelo Gargantini, Rachel Tzoref-Brill",Combinatorial Testing: From Algorithms to Applications,Other,,"International Conference on Software Testing, Verification and Validation Workshops",,,,17-18,10.1109/ICSTW.2016.40
2016,inproceedings,"Barbara Silva, Gustavo Vale, Paulo Afonso Parreira, Heitor A. X. Costa",Comparative analysis of two algorithms of combinatorial techniques for testing SPLs - An exploratory study in six SPLs,Evaluation,,International Conference of the Chilean Computer Science Society,,,,1-12,10.1109/SCCC.2016.7835999
2015,article,"Priti Bansal, Sangeeta Sabharwal, Nitish Mittal, Sarthak Arora",Construction of Variable Strength Covering Array for Combinatorial Testing Using a Greedy Approach to Genetic Algorithm,Generation,,e-Informatica Software Engineering Journal,,9,1,87-105,10.5277/E-INF150107
2015,inproceedings,Rick Kuhn,Combinatorial Methods in Software Testing,Other,,International Conference on Soft Computing and Software Engineering,,,,9-10,10.1016/J.PROCS.2015.08.396
2014,book,Guanqiu Qi,Test Algebra for Concurrent Combinatorial Testing,Generation,,"Arizona State University, Tempe, USA",,,,,
2014,inproceedings,"Achim Berger, Alexander Entinger, Albert Potsch, Andreas Springer",Improving IEEE 802154e LLDN performance by relaying and extension of combinatorial testing,Application,,Emerging Technology and Factory Automation,,,,1-4,10.1109/ETFA.2014.7005328
2014,inproceedings,"Nelly Condori-Fernández, Peter M. Kruse, Tanja E. J. Vos, Etienne Brosse, Alessandra Bagnato",Combinatorial Testing in an Industrial Environment - Analyzing the Applicability of a Tool,Application,,International Conference on the Quality of Information and Communications Technology,,,,210-215,10.1109/QUATIC.2014.36
2013,inproceedings,"Elisa Puoskari, Tanja E. J. Vos, Nelly Condori-Fernández, Peter M. Kruse",Evaluating applicability of combinatorial testing in an industrial environment: a case study,Application,,International Workshop on Joining AcadeMiA and Industry Contributions to testing Automation,,,,7-12,10.1145/2489280.2489287
2009,inproceedings,"Li Li, Wu Chou",A Combinatorial Approach to Multi-session Testing of Stateful Web Services,Application,,IEEE Congress on Services,,,,179-186,10.1109/SERVICES-I.2009.38
2006,inproceedings,"Datla Vijaya Gopala Raju, Kakarlapudi Venkata Satya Varaha Narsimha Raju, Avula Damodaram",The RATG System: Reducing Time with an Approach of Testing based on Combinatorial Design Method,Application,,IASTED International Conference on Software Engineering,,,,361-366,
2006,inproceedings,"Ralf Lämmel, Wolfram Schulte",Controllable Combinatorial Coverage in Grammar-Based Testing,Application,,International Conference on Testing of Communicating Systems,,,,19-38,10.1007/11754008_2
2003,article,"Toby Berger, Vladimir I. Levenshtein",Application of Cover-free Codes and Combinatorial Designs to Two-stage Testing,Generation,,Discrete Applied Mathematics,,128,1,11-26,10.1016/S0166-218X(02)00433-X
2001,article,"Toby Berger, Vladimir I. Levenshtein",Application of cover-free codes and combinatorial designs to two-stage testing,Generation,,Electronic Notes in Discrete Mathematics,,6,,518-527,10.1016/S1571-0653(04)00204-5
