Author,Degree,Strength,Betweenness,Eigenvector
Raghu N. Kacker,0.10662824207492795,278,0.052381269677333385,0.5668429567921115
D. Richard Kuhn,0.10374639769452448,262,0.08556273703031213,0.5538180446543026
Yu Lei,0.10086455331412103,266,0.0655508542808438,0.5064969407657468
Charles J. Colbourn,0.08357348703170028,77,0.15109415690781983,0.005967827396987518
Dimitris E. Simos,0.07492795389048991,190,0.06372540853892156,0.1918534564560251
Changhai Nie,0.05187319884726224,104,0.08433281693347328,0.034658664554200684
Myra B. Cohen,0.05187319884726224,61,0.07726563497748387,0.00026963261321172164
Kamal Z. Zamli,0.04899135446685879,75,0.0050890373307124655,3.1754149810382744e-08
Bernhard Garn,0.04610951008645533,82,3.331612000466426e-05,0.08758703366621703
Jinfu Chen,0.040345821325648415,67,0.0008620546051206875,7.608990754792807e-07
Chuan Luo,0.040345821325648415,55,0.0008662191201212707,5.791052777034323e-08
Jinkun Lin,0.037463976945244955,40,0.00021655478003031767,4.4081003023171645e-08
Jose Torres-Jimenez,0.034582132564841495,72,0.03833852509536739,8.246188441583008e-05
Franz Wotawa,0.034582132564841495,45,0.018073995102530358,0.025230046824065194
Hongyu Zhang,0.034582132564841495,43,8.884298667910467e-05,4.879818703133409e-08
Takashi Kitamura,0.034582132564841495,42,0.001321539426851682,8.422167407625604e-09
Ziyuan Wang,0.034582132564841495,33,0.02403758058336526,0.001057968982998138
Rubing Huang,0.03170028818443804,61,0.0004872482550682148,7.576452106333244e-07
Huayao Wu,0.03170028818443804,53,0.0001166064200163249,0.0172221388164095
Renée C. Bryce,0.03170028818443804,35,0.06328258177719288,0.026779331255773538
Manuel Leithner,0.02881844380403458,54,2.4987090003498195e-05,0.058484034065084775
Hareton Leung,0.02881844380403458,37,0.0,0.014898342508232892
Kristoffer Kleine,0.02881844380403458,30,0.0,0.04248158179769153
Mohammad F.J. Klaib,0.02881844380403458,30,0.00234878646032883,7.241253654813163e-09
Benoit Baudry,0.02881844380403458,25,0.013551331811897186,7.994323756330952e-06
Peter M. Kruse,0.02881844380403458,24,0.0015325415202145558,1.3354965960167878e-10
Ludwig Kampel,0.02593659942363112,56,0.0,0.05772075172038316
Feng Duan,0.02593659942363112,39,0.0,0.08452319540100454
Bestoun S. Ahmed,0.02593659942363112,38,0.001299328680181906,2.4505443442100753e-08
Tatsuhiro Tsuchiya,0.02593659942363112,33,0.00129099965018074,2.5266788209484696e-09
Cemal Yilmaz,0.02593659942363112,33,0.015125518482117573,7.578259424677708e-06
Shaowei Cai,0.02593659942363112,32,6.663224000932851e-05,4.1293970867561475e-08
Sagar Sen,0.02593659942363112,21,0.010419616531458746,7.863839934931446e-06
Dave Towey,0.023054755043227664,48,2.082257500291516e-05,6.849010959318114e-07
Himer Avila-George,0.023054755043227664,42,0.0030567540104279455,1.0263824032336732e-05
Michael Wagner,0.023054755043227664,38,0.0005330579200746281,0.030954171057833827
Tsong Yueh Chen,0.023054755043227664,36,0.0,5.241964889598997e-07
Eun-Hye Choi,0.023054755043227664,36,0.0004886364267350759,8.279751062495236e-09
Chunming Hu,0.023054755043227664,28,1.665806000233213e-05,3.6259856941931067e-08
Xintao Niu,0.020172910662824207,47,0.0,0.029522417817780283
James Lawrence,0.020172910662824207,32,0.0,0.08818754156593903
Xiaoyin Wang,0.020172910662824207,30,0.0,0.023957062226540683
Yves Le Traon,0.020172910662824207,28,0.04008762139561227,0.0005351407890068374
Axel Legay,0.020172910662824207,27,0.00019989672002798556,1.1279614623452024e-10
Jiaxi Xu,0.020172910662824207,26,0.0,0.013713761894391586
Yan Wang,0.020172910662824207,26,0.0,0.013713761894391586
Brett Stevens,0.020172910662824207,25,0.0002470945567012599,1.0216995204646053e-10
Roberto E. Lopez-Herrejon,0.020172910662824207,24,0.0003414902300478086,3.478761169126199e-10
Alexander Egyed,0.020172910662824207,24,0.0003414902300478086,3.478761169126199e-10
Qiyuan Zhao,0.020172910662824207,23,0.0,3.1781008174838666e-08
Chang Rao,0.020172910662824207,22,0.001013365316808535,0.030440426798751908
Jin Guo,0.020172910662824207,22,0.001013365316808535,0.030440426798751908
Adam Porter,0.020172910662824207,22,0.00907864270127101,1.1145224993017902e-05
Nan Li,0.020172910662824207,20,0.0010050362868073688,0.030167348014319906
Qingwei Lin,0.020172910662824207,20,1.1105373334888086e-05,2.5187488482226216e-08
Sreedevi Sampath,0.020172910662824207,20,0.001998967200279855,0.03167687331130379
Wei Wu,0.020172910662824207,19,0.0,2.6570029953640373e-08
Angelo Gargantini,0.017291066282420747,37,0.02683613466375706,4.738473571243382e-07
Baowen Xu,0.017291066282420747,30,0.029176592094084724,0.002194303795737228
Yunan Zhou,0.017291066282420747,29,0.0,4.473912567613945e-07
Jian Zhang,0.017291066282420747,28,0.00028318702003964617,2.2504765000761085e-10
Cyrille Artho,0.017291066282420747,28,5.552686667444043e-06,7.42773654152387e-09
Rachel Tzoref-Brill,0.017291066282420747,27,0.00044976762006296745,8.785564107740764e-11
Josip Bozic,0.017291066282420747,25,0.0,0.023929577559959034
Jun Yan,0.017291066282420747,23,0.00018323866002565342,2.0069946322780507e-10
Lucia Moura,0.017291066282420747,23,0.00014714619668726716,1.0111462680164976e-10
Weiwen Zong,0.017291066282420747,21,0.0,3.214863405764966e-07
Wei-Tek Tsai,0.017291066282420747,21,0.006105178990854725,0.00016750433910935872
Gilles Perrouin,0.017291066282420747,21,0.00012493545001749097,1.9625969027093524e-05
Yansheng Lu,0.017291066282420747,20,0.0,3.019923567726555e-07
Jacques Klein,0.017291066282420747,20,0.0,1.9574513762010236e-05
Mark Harman,0.017291066282420747,18,0.021116867396289696,0.0007171650248621835
Malte Lochau,0.017291066282420747,17,0.0007329546401026137,9.163776052377063e-12
Siddhartha R. Dalal,0.017291066282420747,17,0.00013326448001865703,2.1245971074399722e-12
Eitan Farchi,0.017291066282420747,16,0.0005996901600839567,4.355814434281667e-11
Sebastian Krieter,0.017291066282420747,16,0.0006246772500874548,4.701152488156681e-12
Abdullah B. Nasser,0.017291066282420747,16,0.0008828771801236028,9.734748906925024e-09
Justyna Petke,0.017291066282420747,15,0.031883526844463696,3.410169570149975e-05
Weifeng Sun,0.017291066282420747,15,0.0,2.3383702064044857e-07
Linbin Yu,0.01440922190201729,30,0.0,0.08941570906158311
Laleh Sh. Ghandehari,0.01440922190201729,29,0.0,0.09155920032093762
Jaganmohan Chandrasekaran,0.01440922190201729,25,0.0030650830404291116,0.0769711867594171
Nelson Rangel-Valdez,0.01440922190201729,25,0.0,6.643477958971908e-06
Mohammed I. Younis,0.01440922190201729,22,0.0,1.621406261891636e-08
Akihisa Yamada,0.01440922190201729,20,0.0,5.659214269993322e-09
Vicente Hernández,0.01440922190201729,19,0.0,3.97126975983825e-06
Rick Kuhn,0.01440922190201729,18,0.0,0.031082779157287098
Lydie du Bousquet,0.01440922190201729,18,0.00010827739001515883,9.017996785763526e-12
Enrique Alba,0.01440922190201729,18,0.0002776343333722022,3.005849494817882e-10
Francisco Chicano,0.01440922190201729,18,0.0002776343333722022,3.005849494817882e-10
Javier Ferrer,0.01440922190201729,18,0.0002776343333722022,3.005849494817882e-10
Wenhua Wang,0.01440922190201729,16,0.0,0.04140214549231799
Mehra N. Borazjany,0.01440922190201729,16,0.0,0.04568675593031142
Tao Xie,0.01440922190201729,15,0.042478053005946925,0.039986142106089806
W. Eric Wong,0.01440922190201729,15,0.006080191900851227,0.022986504138563728
Thomas Thüm,0.01440922190201729,14,4.164515000583032e-05,3.6334398867599814e-12
Dominik-Philip Schreiber,0.01440922190201729,12,0.0,0.013684812910940748
Tanja E.J. Vos,0.01440922190201729,12,0.0004997418000699639,3.883641002730092e-11
Jeffrey M. Voas,0.01440922190201729,10,0.0,0.011850879317733399
Bo Qiao,0.01440922190201729,10,0.0,1.2645322937885455e-08
