source,target,weight
Axel Legay,Eduard Baranov,5
Axel Legay,Benoît Duhoux,4
Axel Legay,Kim Mens,4
Axel Legay,Pierre Martou,4
Axel Legay,Kuldeep S. Meel,4
Axel Legay,N. Variyam Vinodchandran,3
Axel Legay,Sourav Chakraborty,3
Eduard Baranov,Kuldeep S. Meel,4
Eduard Baranov,N. Variyam Vinodchandran,3
Eduard Baranov,Sourav Chakraborty,3
Andrea Bombarda,Angelo Gargantini,11
Angelo Gargantini,Paolo Arcaini,3
Angelo Gargantini,Andrea Calvagna,10
Angelo Gargantini,Marco Radavelli,4
Angelo Gargantini,Justyna Petke,2
Angelo Gargantini,Paolo Vavassori,7
Benoît Duhoux,Kim Mens,4
Benoît Duhoux,Pierre Martou,4
Kim Mens,Pierre Martou,4
Roberto E. Lopez-Herrejon,Alexander Egyed,8
Roberto E. Lopez-Herrejon,Rudolf Ramler,2
Roberto E. Lopez-Herrejon,Stefan Fischer,3
Roberto E. Lopez-Herrejon,Enrique Alba,3
Roberto E. Lopez-Herrejon,Francisco Chicano,3
Roberto E. Lopez-Herrejon,Javier Ferrer,3
Roberto E. Lopez-Herrejon,Evelyn Nicole Haslinger,2
Ina Schaefer,Tobias Pett,3
Ina Schaefer,Sebastian Krieter,2
Ina Schaefer,Thomas Thüm,2
Tobias Pett,Sebastian Krieter,3
Tobias Pett,Thomas Thüm,3
Chuan Luo,Chunming Hu,6
Chuan Luo,Hongyu Zhang,8
Chuan Luo,Shuangyu Lyu,2
Chuan Luo,Wei Wu,4
Chuan Luo,Binqi Sun,2
Chuan Luo,Jianping Song,2
Chuan Luo,Jinkun Lin,7
Chuan Luo,Junjie Chen,2
Chuan Luo,Qiyuan Zhao,5
Chuan Luo,Shaowei Cai,7
Chuan Luo,Bing He,2
Chuan Luo,Qingwei Lin,4
Chuan Luo,Bo Qiao,2
Chuan Luo,Dongmei Zhang,2
Chunming Hu,Hongyu Zhang,5
Chunming Hu,Shuangyu Lyu,2
Chunming Hu,Wei Wu,3
Chunming Hu,Jianping Song,2
Chunming Hu,Jinkun Lin,2
Chunming Hu,Qiyuan Zhao,5
Chunming Hu,Shaowei Cai,3
Hongyu Zhang,Shuangyu Lyu,2
Hongyu Zhang,Wei Wu,4
Hongyu Zhang,Binqi Sun,2
Hongyu Zhang,Jinkun Lin,5
Hongyu Zhang,Junjie Chen,2
Hongyu Zhang,Qiyuan Zhao,4
Hongyu Zhang,Shaowei Cai,4
Hongyu Zhang,Bo Qiao,2
Hongyu Zhang,Dongmei Zhang,2
Hongyu Zhang,Qingwei Lin,3
Shuangyu Lyu,Wei Wu,2
Wei Wu,Qiyuan Zhao,2
Wei Wu,Jinkun Lin,2
Wei Wu,Shaowei Cai,2
Changhai Nie,Huayao Wu,17
Changhai Nie,Jiaxi Xu,4
Changhai Nie,Xiaoyin Wang,4
Changhai Nie,Xintao Niu,10
Changhai Nie,Yan Wang,4
Changhai Nie,Yu Lei,6
Changhai Nie,Mark Harman,2
Changhai Nie,Yue Jia,2
Changhai Nie,Hareton Leung,9
Changhai Nie,Fei-Ching Kuo,5
Changhai Nie,Charles J. Colbourn,3
Changhai Nie,Kai-Yuan Cai,3
Changhai Nie,Jing Jiang,2
Changhai Nie,Baowen Xu,9
Changhai Nie,Ziyuan Wang,4
Changhai Nie,Liang Shi,5
Changhai Nie,Lei Xu,3
Changhai Nie,William C. Chu,2
Huayao Wu,Jiaxi Xu,3
Huayao Wu,Xiaoyin Wang,3
Huayao Wu,Xintao Niu,8
Huayao Wu,Yan Wang,3
Huayao Wu,Yu Lei,3
Huayao Wu,Mark Harman,2
Huayao Wu,Yue Jia,2
Huayao Wu,Fei-Ching Kuo,5
Huayao Wu,Charles J. Colbourn,3
Huayao Wu,Hareton Leung,4
Jiaxi Xu,Xiaoyin Wang,3
Jiaxi Xu,Xintao Niu,5
Jiaxi Xu,Yan Wang,5
Jiaxi Xu,Yu Lei,3
Jiaxi Xu,Hareton Leung,2
Xiaoyin Wang,Xintao Niu,6
Xiaoyin Wang,Yan Wang,3
Xiaoyin Wang,Yu Lei,6
Xiaoyin Wang,Hareton Leung,3
Xiaoyin Wang,Nie Changhai,2
Xintao Niu,Yan Wang,5
Xintao Niu,Yu Lei,7
Xintao Niu,Hareton Leung,4
Xintao Niu,Nie Changhai,2
Yan Wang,Yu Lei,3
Yan Wang,Hareton Leung,2
Yu Lei,D. Richard Kuhn,59
Yu Lei,Raghu N. Kacker,62
Yu Lei,Sunny Shree,3
Yu Lei,Krishna Khadka,3
Yu Lei,Dimitris E. Simos,10
Yu Lei,Jaganmohan Chandrasekaran,7
Yu Lei,Chang Rao,4
Yu Lei,Jin Guo,4
Yu Lei,Yadong Zhang,3
Yu Lei,Nan Li,4
Yu Lei,Hareton Leung,3
Yu Lei,Tao Xie,3
Yu Lei,Bernhard Garn,4
Yu Lei,Feng Duan,9
Yu Lei,Franz Wotawa,3
Yu Lei,Josip Bozic,3
Yu Lei,Kristoffer Kleine,3
Yu Lei,Nie Changhai,2
Yu Lei,Linbin Yu,8
Yu Lei,James Lawrence,8
Yu Lei,Sreedevi Sampath,3
Yu Lei,Wenhua Wang,4
Yu Lei,Laleh Sh. Ghandehari,9
Yu Lei,Renée C. Bryce,2
Yu Lei,David Kung,3
Yu Lei,Itzel D. Mendoza,2
Yu Lei,Mehra N. Borazjany,4
Yu Lei,Michael Forbes,2
Yu Lei,Vadim Okun,2
Yu Lei,Kuo-Chung Tai,2
Dimitris E. Simos,Jovan Zivanovic,7
Dimitris E. Simos,Manuel Leithner,19
Dimitris E. Simos,Reinhard Kugler,2
Dimitris E. Simos,Michael Wagner,14
Dimitris E. Simos,Bernhard Garn,23
Dimitris E. Simos,D. Richard Kuhn,13
Dimitris E. Simos,Raghu N. Kacker,18
Dimitris E. Simos,Christoph Wech,2
Dimitris E. Simos,Irene Hiess,4
Dimitris E. Simos,Ludwig Kampel,22
Dimitris E. Simos,Charles J. Colbourn,2
Dimitris E. Simos,Kristoffer Kleine,10
Dimitris E. Simos,Dominik-Philip Schreiber,3
Dimitris E. Simos,Paris Kitsos,3
Dimitris E. Simos,Jeffrey M. Voas,2
Dimitris E. Simos,Rick Kuhn,5
Dimitris E. Simos,Franz Wotawa,7
Dimitris E. Simos,Ilias S. Kotsireas,4
Dimitris E. Simos,Feng Duan,3
Dimitris E. Simos,Josip Bozic,6
Dimitris E. Simos,Darryl C. Jarman,2
Dimitris E. Simos,Riley Smith,2
Dimitris E. Simos,Artemios G. Voyiatzis,3
Dimitris E. Simos,Ioannis Kapsalis,2
Dimitris E. Simos,Severin Winkler,2
Jovan Zivanovic,Manuel Leithner,7
Jovan Zivanovic,Bernhard Garn,4
Manuel Leithner,Reinhard Kugler,2
Manuel Leithner,Michael Wagner,3
Manuel Leithner,Bernhard Garn,8
Manuel Leithner,D. Richard Kuhn,3
Manuel Leithner,Raghu N. Kacker,4
Manuel Leithner,Christoph Wech,2
Manuel Leithner,Ludwig Kampel,4
Manuel Leithner,Kristoffer Kleine,2
D. Richard Kuhn,Raghu N. Kacker,80
D. Richard Kuhn,Sunny Shree,3
D. Richard Kuhn,Bernhard Garn,3
D. Richard Kuhn,Krishna Khadka,3
D. Richard Kuhn,Jaganmohan Chandrasekaran,7
D. Richard Kuhn,M. S. Raunak,3
D. Richard Kuhn,Chang Rao,2
D. Richard Kuhn,Jin Guo,2
D. Richard Kuhn,Nan Li,2
D. Richard Kuhn,Linghuan Hu,3
D. Richard Kuhn,W. Eric Wong,3
D. Richard Kuhn,Ludwig Kampel,3
D. Richard Kuhn,Tao Xie,5
D. Richard Kuhn,Kristoffer Kleine,2
D. Richard Kuhn,Zachary B. Ratliff,2
D. Richard Kuhn,Darryl C. Jarman,2
D. Richard Kuhn,Riley Smith,2
D. Richard Kuhn,Feng Duan,6
D. Richard Kuhn,Linbin Yu,8
D. Richard Kuhn,James Lawrence,8
D. Richard Kuhn,Sreedevi Sampath,2
D. Richard Kuhn,Wenhua Wang,3
D. Richard Kuhn,Artemios G. Voyiatzis,2
D. Richard Kuhn,Vincent C. Hu,3
D. Richard Kuhn,Laleh Sh. Ghandehari,8
D. Richard Kuhn,Jon Hagar,2
D. Richard Kuhn,Renée C. Bryce,3
D. Richard Kuhn,David Kung,2
D. Richard Kuhn,Itzel D. Mendoza,2
D. Richard Kuhn,Mehra N. Borazjany,4
D. Richard Kuhn,Michael Forbes,2
D. Richard Kuhn,Vadim Okun,3
D. Richard Kuhn,Dolores R. Wallace,2
Raghu N. Kacker,Sunny Shree,3
Raghu N. Kacker,Bernhard Garn,6
Raghu N. Kacker,Krishna Khadka,3
Raghu N. Kacker,Jaganmohan Chandrasekaran,7
Raghu N. Kacker,Dominik-Philip Schreiber,2
Raghu N. Kacker,Jeffrey M. Voas,2
Raghu N. Kacker,Rick Kuhn,6
Raghu N. Kacker,M. S. Raunak,3
Raghu N. Kacker,Chang Rao,2
Raghu N. Kacker,Jin Guo,2
Raghu N. Kacker,Nan Li,2
Raghu N. Kacker,Michael Wagner,2
Raghu N. Kacker,Linghuan Hu,3
Raghu N. Kacker,W. Eric Wong,3
Raghu N. Kacker,Ludwig Kampel,3
Raghu N. Kacker,Tao Xie,3
Raghu N. Kacker,Kristoffer Kleine,2
Raghu N. Kacker,Darryl C. Jarman,2
Raghu N. Kacker,Riley Smith,2
Raghu N. Kacker,Feng Duan,6
Raghu N. Kacker,Linbin Yu,8
Raghu N. Kacker,James Lawrence,8
Raghu N. Kacker,Sreedevi Sampath,3
Raghu N. Kacker,Wenhua Wang,4
Raghu N. Kacker,Artemios G. Voyiatzis,2
Raghu N. Kacker,Laleh Sh. Ghandehari,8
Raghu N. Kacker,Jon Hagar,2
Raghu N. Kacker,Renée C. Bryce,2
Raghu N. Kacker,David Kung,3
Raghu N. Kacker,Itzel D. Mendoza,2
Raghu N. Kacker,Mehra N. Borazjany,4
Raghu N. Kacker,Michael Forbes,2
Raghu N. Kacker,Vadim Okun,2
Sunny Shree,Krishna Khadka,2
Ankita Ramjibhai Patel,Jaganmohan Chandrasekaran,2
Erin Lanus,Laura J. Freeman,4
Erin Lanus,Charles J. Colbourn,3
Jaganmohan Chandrasekaran,Laleh Sh. Ghandehari,2
Laura J. Freeman,Tyler Cody,3
Deborah Ann Furman,Eitan Farchi,2
Deborah Ann Furman,Michael Edward Gildein,2
Deborah Ann Furman,Ryan Thomas Rawlins,2
Eitan Farchi,Michael Edward Gildein,2
Eitan Farchi,Ryan Thomas Rawlins,2
Eitan Farchi,Anna Zamansky,3
Eitan Farchi,Itai Segall,4
Eitan Farchi,Rachel Tzoref-Brill,3
Michael Edward Gildein,Ryan Thomas Rawlins,2
Paolo Arcaini,Shaukat Ali,2
Paolo Arcaini,Tao Yue,2
Paolo Arcaini,Xinyi Wang,2
Malte Lochau,Sebastian Krieter,2
Malte Lochau,Gunter Saake,3
Malte Lochau,Jens Meinicke,2
Malte Lochau,Mustafa Al-Hajjaji,3
Malte Lochau,Thomas Thum,3
Malte Lochau,Sebastian Oster,4
Sebastian Krieter,Thomas Thüm,5
Sebastian Krieter,Tim Jannik Schmidt,2
Sebastian Krieter,Tobias Heß,2
Thomas Thüm,Tim Jannik Schmidt,2
Thomas Thüm,Tobias Heß,2
Binqi Sun,Jinkun Lin,2
Binqi Sun,Junjie Chen,2
Jianping Song,Qiyuan Zhao,2
Jinkun Lin,Junjie Chen,2
Jinkun Lin,Qiyuan Zhao,2
Jinkun Lin,Shaowei Cai,6
Jinkun Lin,Bing He,2
Jinkun Lin,Qingwei Lin,4
Jinkun Lin,Yingjie Fu,2
Jinkun Lin,Bo Qiao,2
Jinkun Lin,Dongmei Zhang,2
Qiyuan Zhao,Shaowei Cai,3
Franz Wotawa,Yavuz Köroglu,2
Franz Wotawa,Florian Klück,2
Franz Wotawa,Jianbo Tao,3
Franz Wotawa,Yihao Li,5
Franz Wotawa,Mihai Nica,4
Franz Wotawa,Bernhard Garn,5
Franz Wotawa,Feng Duan,3
Franz Wotawa,Josip Bozic,6
Franz Wotawa,Hermann Felbinger,3
Franz Wotawa,Kristoffer Kleine,2
Lin Chen,Baowen Xu,3
Lin Chen,Ziyuan Wang,3
Michael Wagner,Irene Hiess,4
Michael Wagner,Ludwig Kampel,9
Michael Wagner,Charles J. Colbourn,2
Michael Wagner,Kristoffer Kleine,2
Michael Wagner,Ilias S. Kotsireas,2
Ce Shi,Hao Jin,3
Ce Shi,Tatsuhiro Tsuchiya,3
Hao Jin,Tatsuhiro Tsuchiya,8
Hao Jin,Eun-Hye Choi,2
Hao Jin,Takashi Kitamura,2
Tatsuhiro Tsuchiya,Eun-Hye Choi,2
Tatsuhiro Tsuchiya,Takashi Kitamura,2
Tatsuhiro Tsuchiya,Hideharu Kojima,5
Tatsuhiro Tsuchiya,Hiroyuki Nakagawa,5
Tatsuhiro Tsuchiya,Tohru Kikuno,4
Tatsuhiro Tsuchiya,Toru Nanba,2
Tatsuhiro Tsuchiya,Satoshi Fujimoto,2
Florian Klück,Jianbo Tao,2
Florian Klück,Yihao Li,2
Jianbo Tao,Yihao Li,3
Bernhard Garn,Dominik-Philip Schreiber,3
Bernhard Garn,Ludwig Kampel,6
Bernhard Garn,Jeffrey M. Voas,2
Bernhard Garn,Rick Kuhn,3
Bernhard Garn,Feng Duan,3
Bernhard Garn,Josip Bozic,5
Bernhard Garn,Kristoffer Kleine,3
Bernhard Garn,Ioannis Kapsalis,2
Bernhard Garn,Severin Winkler,2
Matthew B. Dwyer,Brady J. Garvin,2
Matthew B. Dwyer,Myra B. Cohen,6
Matthew B. Dwyer,Jiangfan Shi,4
Kuldeep S. Meel,N. Variyam Vinodchandran,3
Kuldeep S. Meel,Sourav Chakraborty,3
N. Variyam Vinodchandran,Sourav Chakraborty,3
Irene Hiess,Ludwig Kampel,4
