year,type,author,title,field,tag,booktitle,abbr,vol,no,pages,doi
2025,article,"Eduard Baranov, Axel Legay",Baital: Sampling configurable systems with high t-wise coverage,Generation,,Science of Computer Programming,,240,,103209,10.1016/J.SCICO.2024.103209
2025,article,"Pierre Martou, Benoît Duhoux, Kim Mens, Axel Legay",Combinatorial transition testing in dynamically adaptive systems: Implementation and test oracle,Application,,Journal of Systems and Software ,JSS,221,,112260,10.1016/J.JSS.2024.112260
2025,article,"Kambiz Nezami Balouchi, Julien Mercier, Roberto E. Lopez-Herrejon",An exploratory empirical eye-tracker study of visualization techniques for coverage of combinatorial interaction testing in software product lines,Application,,Journal of Systems and Software,JSS,220,,112261,10.1016/J.JSS.2024.112261
2025,article,"Yan Wang, Xintao Niu, Huayao Wu, Changhai Nie, Lei Yu, Xiaoyin Wang, Jiaxi Xu",Top-down: A better strategy for incremental covering array generation,Generation,,Information and Software Technology,IST,178,,107601,10.1016/J.INFSOF.2024.107601
2025,article,"Kamaraj Kanagaraj, Prasath Nithiyanandam, Saradha Sekar, Sangeetha Shanmugam",Combinatorial test case prioritization using hybrid Energy Valley Dwarf Mongoose Optimization approach,Optimization,,Expert Systems with Applications,ESWA,271,,126634,10.1016/J.ESWA.2025.126634
2025,article,"Chuan Luo, Jianping Song, Qiyuan Zhao, Binqi Sun, Junjie Chen, Hongyu Zhang, Jinkun Lin, Chunming Hu",Solving the t-Wise Coverage Maximum Problem via Effective and Efficient Local Search-Based Sampling,,,ACM Transactions on Software Engineering and Methodology ,TOSEM,34,1,13:1-13:64,10.1145/3688836
2025,article,"Dominik Krupke, Ahmad Moradi, Michael Perk, Phillip Keldenich, Gabriel Gehrke, Sebastian Krieter, Thomas Thüm, Sándor P. Fekete",How Low Can We Go? Minimizing Interaction Samples for Configurable Systems,Generation,,ACM Transactions on Software Engineering and Methodology,TOSEM,,,,10.1145/371219
2024,article,"Paolo Arcaini, Ahmet Cetinkaya",CRAG - a combinatorial testing-based generator of road geometries for ADS testing,Application,,Science of Computer Programming,,238,,103171,10.1016/J.SCICO.2024.103171
2024,article,"Carmen Baumann, Yavuz Köroglu, Franz Wotawa",On the Impact of Input Models on the Fault Detection Capabilities of Combinatorial Testing,Evaluation,,SN Computer Science,,5,7,821,10.1007/S42979-024-03134-3
2024,article,"Andrea Bombarda, Angelo Gargantini","Design, implementation, and validation of a benchmark generator for combinatorial interaction testing tools",Generation,,Journal of Systems and Software ,JSS,209,,111920,10.1016/J.JSS.2023.111920
2024,article,"Carlos Ansótegui, Eduard Torres",Effectively computing high strength mixed covering arrays with constraints,Generation,,Journal of Parallel and Distributed Computing,JPDC,185,,104791,10.1016/J.JPDC.2023.104791
2024,inproceedings,"Tobias Heß, Tim Jannik Schmidt, Lukas Ostheimer, Sebastian Krieter, Thomas Thüm",UnWise: High T-Wise Coverage from Uniform Sampling,Generation,,International Working Conference on Variability Modelling of Software-Intensive Systems,VAMOS,,,37-45,10.1145/3634713.3634716
2024,inproceedings,"Pierre Martou, Benoît Duhoux, Kim Mens, Axel Legay",Combinatorial Transition Testing in Dynamically Adaptive Systems,Application,,International Working Conference on Variability Modelling of Software-Intensive Systems,,,,1-10,10.1145/3634713.3634726
2024,inproceedings,"Tobias Pett, Sebastian Krieter, Thomas Thüm, Ina Schaefer",MulTi-Wise Sampling: Trading Uniform T-Wise Feature Interaction Coverage for Smaller Samples,Generation,,International Systems and Software Product Line Conference,SPLC,,,47-53,10.1145/3646548.3672589
2024,inproceedings,"Chuan Luo, Shuangyu Lyu, Qiyuan Zhao, Wei Wu, Hongyu Zhang, Chunming Hu",Beyond Pairwise Testing: Advancing 3-wise Combinatorial Interaction Testing for Highly Configurable Systems,Application,,International Symposium on Software Testing and Analysis,ISSTA,,,641-653,10.1145/3650212.3680309
